DHSID_EA,cname,year,lat,lon,n_asset,asset_index,n_water,water_index,cluster_id,adm1dhs,urban,path
IA-2015-7-00010004,IA,2015,9.16541348453,92.7426958972,22.0,2.650768166999014,22.0,5.0,10004,1,R,dhs_train/IA-2015-7-00010004.npz
IA-2015-7-00010005,IA,2015,8.30735625773,93.0937924407,22.0,2.15778423335684,22.0,5.0,10005,1,R,dhs_train/IA-2015-7-00010005.npz
IA-2015-7-00010007,IA,2015,7.01696797689,93.8932263934,21.0,1.8327508172111469,21.0,4.619047619047619,10007,1,R,dhs_train/IA-2015-7-00010007.npz
IA-2015-7-00010016,IA,2015,9.1949376382,92.8004316003,22.0,2.7460958043432138,22.0,5.0,10016,1,R,dhs_train/IA-2015-7-00010016.npz
IA-2015-7-00010018,IA,2015,8.05560574626,93.5438918498,22.0,2.581869092314688,22.0,5.0,10018,1,R,dhs_train/IA-2015-7-00010018.npz
IA-2015-7-00010021,IA,2015,9.20011709488,92.7991028366,22.0,2.60620196508321,22.0,5.0,10021,1,R,dhs_train/IA-2015-7-00010021.npz
IA-2015-7-00010027,IA,2015,12.4722363487,92.8835172685,22.0,-2.836690929866468,22.0,1.1363636363636365,10027,1,R,dhs_train/IA-2015-7-00010027.npz
IA-2015-7-00010029,IA,2015,9.23327136968,92.7909641529,22.0,2.7529942130472187,22.0,5.0,10029,1,R,dhs_train/IA-2015-7-00010029.npz
IA-2015-7-00010033,IA,2015,13.2503647852,93.0051045189,21.0,1.5148383599686894,21.0,4.809523809523809,10033,1,R,dhs_train/IA-2015-7-00010033.npz
IA-2015-7-00010038,IA,2015,13.2612721551,92.9396998271,20.0,0.5785719034180076,20.0,5.0,10038,1,R,dhs_train/IA-2015-7-00010038.npz
IA-2015-7-00010040,IA,2015,12.494193308,92.8584382575,22.0,1.617283882154076,22.0,4.909090909090909,10040,1,U,dhs_train/IA-2015-7-00010040.npz
IA-2015-7-00010042,IA,2015,13.0811675379,93.0169829773,21.0,-0.5099127331599521,21.0,3.952380952380953,10042,1,R,dhs_train/IA-2015-7-00010042.npz
IA-2015-7-00010047,IA,2015,9.19579721149,92.7963476141,22.0,2.717246655506316,22.0,5.0,10047,1,R,dhs_train/IA-2015-7-00010047.npz
IA-2015-7-00010048,IA,2015,11.6654409156,92.7373574445,22.0,2.6583004005392934,22.0,5.0,10048,1,U,dhs_train/IA-2015-7-00010048.npz
IA-2015-7-00010053,IA,2015,11.59504,92.730238,22.0,2.4544632487297955,22.0,4.909090909090909,10053,1,R,dhs_train/IA-2015-7-00010053.npz
IA-2015-7-00010056,IA,2015,12.8724048256,92.8891982542,21.0,1.3935742326086218,21.0,5.0,10056,1,R,dhs_train/IA-2015-7-00010056.npz
IA-2015-7-00010062,IA,2015,9.19634691831,92.8180664886,22.0,2.672890001950942,22.0,5.0,10062,1,R,dhs_train/IA-2015-7-00010062.npz
IA-2015-7-00010069,IA,2015,11.7160991652,92.7177441763,20.0,2.6385797406363425,20.0,5.0,10069,1,R,dhs_train/IA-2015-7-00010069.npz
IA-2015-7-00010073,IA,2015,11.707483,92.754598,19.0,2.935259568327903,19.0,5.0,10073,1,U,dhs_train/IA-2015-7-00010073.npz
IA-2015-7-00010075,IA,2015,13.256246,93.004893,20.0,-0.0174362992253864,20.0,4.9,10075,1,R,dhs_train/IA-2015-7-00010075.npz
IA-2015-7-00010078,IA,2015,7.00543265288,93.9004011215,18.0,1.4066565636057622,18.0,5.0,10078,1,R,dhs_train/IA-2015-7-00010078.npz
IA-2015-7-00010079,IA,2015,12.7214925042,92.8637044647,21.0,0.6784669236511747,21.0,4.809523809523809,10079,1,R,dhs_train/IA-2015-7-00010079.npz
IA-2015-7-00010082,IA,2015,11.6469013322,92.7332621075,22.0,2.813652913590089,22.0,5.0,10082,1,U,dhs_train/IA-2015-7-00010082.npz
IA-2015-7-00010088,IA,2015,11.6610765414,92.742176853,21.0,2.415185446053656,21.0,5.0,10088,1,U,dhs_train/IA-2015-7-00010088.npz
